image,expected,actual,passed,candidate_count,proposal_count,processing_ms,winner_margin,winner_score,candidate_scores,proposals
BLUE/blue_001.jpg,BLUE,BLUE,True,1,1,22.138,inf,0.762952,"[{""color"": ""BLUE"", ""score"": 0.762952}]","[{""rank"": 1, ""accepted"": true, ""color"": ""BLUE"", ""confidence"": 0.944775, ""score"": 0.762952, ""dots"": 5, ""length"": 198.345, ""residual"": 1.651, ""spacing_cv"": 0.040483, ""metrics"": {""line"": 0.965036, ""dots"": 0.885721, ""periodic"": 0.997957, ""color"": 0.894427, ""valley"": 1.0}}]"
BLUE/blue_002.jpg,BLUE,BLUE,True,1,1,15.658,inf,0.807452,"[{""color"": ""BLUE"", ""score"": 0.807452}]","[{""rank"": 1, ""accepted"": true, ""color"": ""BLUE"", ""confidence"": 0.945526, ""score"": 0.807452, ""dots"": 5, ""length"": 189.379, ""residual"": 0.632, ""spacing_cv"": 0.02244, ""metrics"": {""line"": 0.994798, ""dots"": 0.907894, ""periodic"": 0.999544, ""color"": 0.894427, ""valley"": 1.0}}]"
BLUE/blue_003.jpg,BLUE,BLUE,True,1,1,15.229,inf,0.807286,"[{""color"": ""BLUE"", ""score"": 0.807286}]","[{""rank"": 1, ""accepted"": true, ""color"": ""BLUE"", ""confidence"": 0.945706, ""score"": 0.807286, ""dots"": 5, ""length"": 190.012, ""residual"": 0.467, ""spacing_cv"": 0.025525, ""metrics"": {""line"": 0.997152, ""dots"": 0.90522, ""periodic"": 0.999925, ""color"": 0.894427, ""valley"": 1.0}}]"
BLUE/blue_004.jpg,BLUE,BLUE,True,1,1,18.847,inf,0.806385,"[{""color"": ""BLUE"", ""score"": 0.806385}]","[{""rank"": 1, ""accepted"": true, ""color"": ""BLUE"", ""confidence"": 0.94557, ""score"": 0.806385, ""dots"": 5, ""length"": 131.875, ""residual"": 0.137, ""spacing_cv"": 0.008938, ""metrics"": {""line"": 0.999754, ""dots"": 0.902114, ""periodic"": 0.999637, ""color"": 0.894427, ""valley"": 1.0}}]"
BLUE/blue_005.jpg,BLUE,BLUE,True,1,1,14.981,inf,0.805683,"[{""color"": ""BLUE"", ""score"": 0.805683}]","[{""rank"": 1, ""accepted"": true, ""color"": ""BLUE"", ""confidence"": 0.945099, ""score"": 0.805683, ""dots"": 5, ""length"": 131.11, ""residual"": 0.227, ""spacing_cv"": 0.017124, ""metrics"": {""line"": 0.99933, ""dots"": 0.902611, ""periodic"": 0.998641, ""color"": 0.894427, ""valley"": 1.0}}]"
BLUE/blue_006.jpg,BLUE,BLUE,True,1,1,19.629,inf,0.811297,"[{""color"": ""BLUE"", ""score"": 0.811297}]","[{""rank"": 1, ""accepted"": true, ""color"": ""BLUE"", ""confidence"": 0.944317, ""score"": 0.811297, ""dots"": 5, ""length"": 115.901, ""residual"": 0.204, ""spacing_cv"": 0.023044, ""metrics"": {""line"": 0.999455, ""dots"": 0.910293, ""periodic"": 0.99699, ""color"": 0.894427, ""valley"": 1.0}}]"
BLUE/blue_007.jpg,BLUE,BLUE,True,1,1,15.953,inf,0.805355,"[{""color"": ""BLUE"", ""score"": 0.805355}]","[{""rank"": 1, ""accepted"": true, ""color"": ""BLUE"", ""confidence"": 0.944063, ""score"": 0.805355, ""dots"": 5, ""length"": 98.774, ""residual"": 0.263, ""spacing_cv"": 0.025226, ""metrics"": {""line"": 0.999095, ""dots"": 0.904437, ""periodic"": 0.996454, ""color"": 0.894427, ""valley"": 1.0}}]"
BLUE/blue_008.jpg,BLUE,BLUE,True,1,1,17.213,inf,0.809739,"[{""color"": ""BLUE"", ""score"": 0.809739}]","[{""rank"": 1, ""accepted"": true, ""color"": ""BLUE"", ""confidence"": 0.945646, ""score"": 0.809739, ""dots"": 5, ""length"": 101.898, ""residual"": 0.342, ""spacing_cv"": 0.016966, ""metrics"": {""line"": 0.998474, ""dots"": 0.906883, ""periodic"": 0.999797, ""color"": 0.894427, ""valley"": 1.0}}]"
BLUE/blue_009.jpg,BLUE,BLUE,True,1,1,14.61,inf,0.796865,"[{""color"": ""BLUE"", ""score"": 0.796865}]","[{""rank"": 1, ""accepted"": true, ""color"": ""BLUE"", ""confidence"": 0.945723, ""score"": 0.796865, ""dots"": 6, ""length"": 110.102, ""residual"": 0.235, ""spacing_cv"": 0.005554, ""metrics"": {""line"": 0.99928, ""dots"": 0.891598, ""periodic"": 0.999961, ""color"": 0.894427, ""valley"": 1.0}}]"
BLUE/blue_010.jpg,BLUE,BLUE,True,1,1,17.715,inf,0.795573,"[{""color"": ""BLUE"", ""score"": 0.795573}]","[{""rank"": 1, ""accepted"": true, ""color"": ""BLUE"", ""confidence"": 0.945006, ""score"": 0.795573, ""dots"": 6, ""length"": 110.0, ""residual"": 0.317, ""spacing_cv"": 0.020102, ""metrics"": {""line"": 0.99869, ""dots"": 0.892032, ""periodic"": 0.998445, ""color"": 0.894427, ""valley"": 1.0}}]"
