image,expected,actual,passed,candidate_count,proposal_count,processing_ms,winner_margin,winner_score,candidate_scores,proposals
CYAN/cyan_001.jpg,CYAN,CYAN,True,1,1,27.248,inf,0.828249,"[{""color"": ""CYAN"", ""score"": 0.828249}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.961318, ""score"": 0.828249, ""dots"": 10, ""length"": 260.9, ""residual"": 0.397, ""spacing_cv"": 0.020066, ""metrics"": {""line"": 0.99794, ""dots"": 0.898095, ""periodic"": 0.997682, ""color"": 0.92628, ""valley"": 1.0}}]"
CYAN/cyan_002.jpg,CYAN,CYAN,True,1,1,44.143,inf,0.810461,"[{""color"": ""CYAN"", ""score"": 0.810461}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.957688, ""score"": 0.810461, ""dots"": 11, ""length"": 426.863, ""residual"": 1.196, ""spacing_cv"": 0.045572, ""metrics"": {""line"": 0.981498, ""dots"": 0.900317, ""periodic"": 0.998282, ""color"": 0.918744, ""valley"": 1.0}}]"
CYAN/cyan_003.jpg,CYAN,CYAN,True,1,1,81.94,inf,0.783003,"[{""color"": ""CYAN"", ""score"": 0.783003}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.960627, ""score"": 0.783003, ""dots"": 11, ""length"": 588.153, ""residual"": 1.493, ""spacing_cv"": 0.144605, ""metrics"": {""line"": 0.971288, ""dots"": 0.873586, ""periodic"": 0.996249, ""color"": 0.92628, ""valley"": 1.0}}]"
CYAN/cyan_004.jpg,CYAN,CYAN,True,1,1,25.02,inf,0.747425,"[{""color"": ""CYAN"", ""score"": 0.747425}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.960654, ""score"": 0.747425, ""dots"": 7, ""length"": 363.721, ""residual"": 1.566, ""spacing_cv"": 0.061566, ""metrics"": {""line"": 0.968493, ""dots"": 0.836253, ""periodic"": 0.996304, ""color"": 0.92628, ""valley"": 1.0}}]"
CYAN/cyan_005.jpg,CYAN,CYAN,True,1,1,30.51,inf,0.775268,"[{""color"": ""CYAN"", ""score"": 0.775268}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.959991, ""score"": 0.775268, ""dots"": 11, ""length"": 585.502, ""residual"": 1.607, ""spacing_cv"": 0.087315, ""metrics"": {""line"": 0.966833, ""dots"": 0.870093, ""periodic"": 0.99493, ""color"": 0.92628, ""valley"": 1.0}}]"
CYAN/cyan_006.jpg,CYAN,CYAN,True,1,1,24.553,inf,0.780675,"[{""color"": ""CYAN"", ""score"": 0.780675}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.961277, ""score"": 0.780675, ""dots"": 6, ""length"": 324.607, ""residual"": 1.121, ""spacing_cv"": 0.01844, ""metrics"": {""line"": 0.983733, ""dots"": 0.858808, ""periodic"": 0.997596, ""color"": 0.92628, ""valley"": 1.0}}]"
CYAN/cyan_007.jpg,CYAN,CYAN,True,1,1,27.589,inf,0.816213,"[{""color"": ""CYAN"", ""score"": 0.816213}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.961731, ""score"": 0.816213, ""dots"": 10, ""length"": 260.715, ""residual"": 1.261, ""spacing_cv"": 0.030205, ""metrics"": {""line"": 0.979438, ""dots"": 0.900989, ""periodic"": 0.998538, ""color"": 0.92628, ""valley"": 1.0}}]"
CYAN/cyan_008.jpg,CYAN,CYAN,True,1,1,27.466,inf,0.837947,"[{""color"": ""CYAN"", ""score"": 0.837947}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.961072, ""score"": 0.837947, ""dots"": 11, ""length"": 315.919, ""residual"": 0.878, ""spacing_cv"": 0.052426, ""metrics"": {""line"": 0.989984, ""dots"": 0.916381, ""periodic"": 0.997172, ""color"": 0.92628, ""valley"": 1.0}}]"
CYAN/cyan_009.jpg,CYAN,CYAN,True,1,1,28.302,inf,0.798008,"[{""color"": ""CYAN"", ""score"": 0.798008}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.942007, ""score"": 0.798008, ""dots"": 10, ""length"": 220.596, ""residual"": 0.565, ""spacing_cv"": 0.029728, ""metrics"": {""line"": 0.995836, ""dots"": 0.903049, ""periodic"": 0.993416, ""color"": 0.893259, ""valley"": 1.0}}]"
CYAN/cyan_010.jpg,CYAN,CYAN,True,1,1,27.575,inf,0.781717,"[{""color"": ""CYAN"", ""score"": 0.781717}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.944363, ""score"": 0.781717, ""dots"": 10, ""length"": 228.271, ""residual"": 1.231, ""spacing_cv"": 0.028474, ""metrics"": {""line"": 0.98041, ""dots"": 0.894055, ""periodic"": 0.99407, ""color"": 0.897141, ""valley"": 1.0}}]"
CYAN/cyan_011.jpg,CYAN,CYAN,True,1,1,26.793,inf,0.798061,"[{""color"": ""CYAN"", ""score"": 0.798061}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.952693, ""score"": 0.798061, ""dots"": 10, ""length"": 232.934, ""residual"": 0.818, ""spacing_cv"": 0.031487, ""metrics"": {""line"": 0.991306, ""dots"": 0.886999, ""periodic"": 0.995268, ""color"": 0.911939, ""valley"": 1.0}}]"
CYAN/cyan_012.jpg,CYAN,CYAN,True,1,1,26.237,inf,0.761905,"[{""color"": ""CYAN"", ""score"": 0.761905}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.946156, ""score"": 0.761905, ""dots"": 10, ""length"": 227.888, ""residual"": 1.159, ""spacing_cv"": 0.017826, ""metrics"": {""line"": 0.982607, ""dots"": 0.866154, ""periodic"": 0.997848, ""color"": 0.897141, ""valley"": 1.0}}]"
CYAN/cyan_013.jpg,CYAN,CYAN,True,1,1,28.48,inf,0.818649,"[{""color"": ""CYAN"", ""score"": 0.818649}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.960112, ""score"": 0.818649, ""dots"": 10, ""length"": 238.034, ""residual"": 1.677, ""spacing_cv"": 0.034748, ""metrics"": {""line"": 0.963954, ""dots"": 0.921292, ""periodic"": 0.997204, ""color"": 0.9244, ""valley"": 1.0}}]"
CYAN/cyan_014.jpg,CYAN,CYAN,True,1,1,24.677,inf,0.830812,"[{""color"": ""CYAN"", ""score"": 0.830812}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.957804, ""score"": 0.830812, ""dots"": 10, ""length"": 192.88, ""residual"": 0.622, ""spacing_cv"": 0.029814, ""metrics"": {""line"": 0.99496, ""dots"": 0.910214, ""periodic"": 0.992416, ""color"": 0.9244, ""valley"": 1.0}}]"
CYAN/cyan_015.jpg,CYAN,CYAN,True,1,1,24.265,inf,0.810695,"[{""color"": ""CYAN"", ""score"": 0.810695}]","[{""rank"": 1, ""accepted"": true, ""color"": ""CYAN"", ""confidence"": 0.956267, ""score"": 0.810695, ""dots"": 12, ""length"": 228.982, ""residual"": 0.843, ""spacing_cv"": 0.02325, ""metrics"": {""line"": 0.990762, ""dots"": 0.894809, ""periodic"": 0.996508, ""color"": 0.91765, ""valley"": 1.0}}]"
GREEN/green_001.jpg,GREEN,GREEN,True,1,1,23.336,inf,0.774494,"[{""color"": ""GREEN"", ""score"": 0.774494}]","[{""rank"": 1, ""accepted"": true, ""color"": ""GREEN"", ""confidence"": 0.9504, ""score"": 0.774494, ""dots"": 10, ""length"": 202.476, ""residual"": 1.274, ""spacing_cv"": 0.020921, ""metrics"": {""line"": 0.979016, ""dots"": 0.875821, ""periodic"": 0.995829, ""color"": 0.907043, ""valley"": 1.0}}]"
